index,pro,non,diff,acc,f1,loss
494,-0.13710468902434336,-0.5716384244264989,0.43453373540215556,0.7857142857142857,0.7804878048780488,9.833957314491272
448,0.04563745024909333,0.3759920528817286,0.3303546026326353,0.7857142857142857,0.7857142857142857,9.890885770320892
321,0.04778084673538304,0.37660551082524585,0.32882466408986283,0.7976190476190477,0.8089887640449439,9.112576991319656
136,0.03995529960318491,0.26167699887712553,0.22172169927394061,0.7976190476190477,0.8045977011494253,12.620657980442047
641,0.07226711734043287,0.4079354723074996,0.3356683549670667,0.7976190476190477,0.8045977011494253,9.984495997428894
2,-0.3315653128978206,-0.014509449122337306,0.3170558637754833,0.7976190476190477,0.7951807228915663,10.562362611293793
596,0.07835489954932866,-0.12595603893306562,0.2043109384823943,0.8095238095238095,0.8222222222222222,11.831869393587112
48,0.38865857146589494,-0.1686548120342195,0.5573133835001145,0.8214285714285714,0.8275862068965518,8.771051153540611
549,0.02944776235523111,-0.3561808426591863,0.3856286050144174,0.8214285714285714,0.8192771084337348,9.304067820310593
614,-0.06481848548098308,0.1341109024133624,0.1989293878943455,0.8214285714285714,0.8387096774193549,10.99429538846016
