index,color,non_color,diff
57,-0.0688528029159421,0.0838653005970021,0.1527181035129442
511,0.09635248824599243,-0.06061761065696677,0.1569700989029592
685,0.07892582924770457,-0.29579448016981286,0.37472030941751744
749,0.23788754096520798,0.04414903640281409,0.1937385045623939
578,0.011691025413927577,-0.33073225704073494,0.3424232824546625
645,-0.21502963683035756,-0.36259026921147275,0.1475606323811152
711,0.03897092875004524,-0.07675315875611785,0.11572408750616309
562,0.2528817585359017,0.37133860766577226,0.11845684912987053
588,0.07368682768373262,0.4955214332892663,0.42183460560553365
368,0.10994854848831892,-0.14804796209662324,0.25799651058494216
