subslice,acc_top,acc_complement,f1_top,f1_complement,loss_top,loss_complement
10,0.9761904761904762,0.9761904761904762,0.9767441860465117,0.9761904761904762,2.5789206016343087,0.01678405550774187
20,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,1.9710603267885745,0.020205251465085894
30,0.9880952380952381,0.9761904761904762,0.988235294117647,0.9761904761904762,1.4721914306282997,0.0186558393179439
40,0.9761904761904762,0.9761904761904762,0.9767441860465117,0.9761904761904762,1.3148854607716203,0.020386420117574744
50,0.9642857142857143,0.9761904761904762,0.9647058823529412,0.9761904761904762,1.167151730041951,0.020353280240669847
60,0.9523809523809523,0.9761904761904762,0.9534883720930233,0.9761904761904762,0.9893614919856191,0.021267970936605707
70,0.9523809523809523,0.9761904761904762,0.9534883720930233,0.9761904761904762,0.8116203648969531,0.02512088170624338
80,0.9642857142857143,0.9761904761904762,0.9647058823529412,0.9761904761904762,0.6668151002377272,0.026166741212364286
90,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.6037391927093267,0.02287985125440173
100,0.9761904761904762,0.9642857142857143,0.9761904761904762,0.9647058823529412,0.5394548687618226,0.025853253348032013
