subslice,acc_top,acc_complement,f1_top,f1_complement,loss_top,loss_complement
100,0.9568965517241379,0.9913793103448276,0.9565217391304347,0.9914529914529915,0.7016823156736791,0.03287494435789995
200,0.9655172413793104,0.9741379310344828,0.9655172413793104,0.9743589743589743,0.21507842122809961,0.05738197878235951
300,0.9827586206896551,0.9396551724137931,0.9827586206896551,0.94017094017094,0.09532500067143701,0.09729023493127897
400,0.9913793103448276,0.9396551724137931,0.9914529914529915,0.9391304347826087,0.05693811487435596,0.23125619743950665
