index,pro,non,diff,acc,f1,loss
686,0.023464444497796267,-0.15968815398602082,0.1831525984838171,0.7346938775510204,0.7664670658682636,22.518725037574768
34,-0.34265630585938006,-0.540059241659141,0.19740293579976093,0.7346938775510204,0.7515923566878983,23.899811923503876
48,-0.005606535543369031,-0.28223741045221684,0.2766308749088478,0.7414965986394558,0.7625,22.441568821668625
529,-0.19573853899093688,-0.3857713319627302,0.19003279297179335,0.7414965986394558,0.7738095238095237,21.175355672836304
522,-0.15490638900021286,-0.49216114544209894,0.33725475644188607,0.7551020408163265,0.7777777777777777,19.920174553990364
321,0.27782946550991927,0.4670633538226996,0.18923388831278032,0.7551020408163265,0.7749999999999999,22.318088740110397
614,0.05082576249046006,0.20303419085019933,0.15220842835973927,0.7551020408163265,0.7804878048780488,21.298817366361618
44,0.20690928624734575,-0.14736164702169066,0.3542709332690364,0.7619047619047619,0.7826086956521738,17.507679864764214
745,0.12669811799117414,-0.2054031405248679,0.33210125851604205,0.7891156462585034,0.8025477707006369,18.702709510922432
215,-0.1076738235960396,-0.2877941376197019,0.1801203140236623,0.7891156462585034,0.7919463087248323,20.974690437316895
