index,pro,non,diff,acc,f1,loss
499,0.24662946050520987,-0.1917762457486242,0.43840570625383407,0.78,0.7708333333333333,11.149336382746696
397,0.06957641466200584,0.3917387728858739,0.3221623582238681,0.79,0.7789473684210526,13.118579149246216
706,-0.07597676957026124,0.07915267874952406,0.1551294483197853,0.79,0.7878787878787878,15.353816121816635
222,-0.3487698052451014,0.01855530682951212,0.36732511207461355,0.8,0.803921568627451,12.904109746217728
424,0.21451373542193322,-0.1966717281844467,0.4111854636063799,0.8,0.7959183673469388,11.069295078516006
136,-0.03442763483501039,0.236892012944445,0.2713196477794554,0.8,0.7916666666666667,14.026699125766754
494,-0.10175380943692289,-0.5888238757476211,0.48707006631069816,0.81,0.8,10.479505628347397
556,-0.026909176592598668,0.3222571223493287,0.34916629894192736,0.82,0.8043478260869565,12.6697136759758
215,0.09218876211089082,-0.21808955450542272,0.31027831661631355,0.82,0.8235294117647058,10.359536945819855
758,0.1311430140864104,0.4842302091792226,0.35308719509281217,0.85,0.8484848484848485,12.37403854727745
