index,pro,non,diff,acc,f1,loss
583,0.1689625,-0.0019499999999999975,0.1709125,0.85,0.8636363636363635,6.243140459060669
336,-0.22485,-0.5034374999999999,0.2785874999999999,0.85,0.85,5.325924783945084
335,-0.21745,0.1489125,0.36636250000000004,0.875,0.8837209302325583,5.007862389087677
641,-0.09154999999999999,0.32777500000000004,0.41932500000000006,0.875,0.8717948717948718,4.830622166395187
92,-0.2184625,0.17026250000000004,0.38872500000000004,0.875,0.8780487804878048,4.478612720966339
448,-0.20055,0.2504,0.45095,0.875,0.8780487804878048,4.327093303203583
393,-0.6815749999999999,-0.15760000000000002,0.5239749999999999,0.875,0.8837209302325583,4.286553859710693
26,0.16124999999999998,-0.22078749999999997,0.3820374999999999,0.875,0.8837209302325583,4.315065264701843
549,0.46366250000000003,0.042699999999999995,0.4209625,0.9,0.9047619047619048,4.576767414808273
277,-0.3331375,0.16,0.4931375,0.925,0.9268292682926829,4.201865345239639
