accuracy,f1,loss
0.61,0.6722689075630253,17.324804544448853
0.53,0.5523809523809523,17.01518851518631
0.69,0.6990291262135921,12.787757903337479
0.58,0.6037735849056605,17.282657086849213
0.62,0.6274509803921569,16.718941748142242
0.55,0.5945945945945946,17.227221846580505
0.48,0.5357142857142857,17.195383489131927
0.63,0.6262626262626263,16.93068540096283
0.67,0.6732673267326733,15.844963431358337
0.66,0.6382978723404256,15.800685167312622
0.66,0.6530612244897959,14.018704265356064
0.64,0.64,15.209873080253601
0.71,0.6881720430107526,16.29324597120285
0.58,0.5882352941176471,17.23938113451004
0.63,0.6407766990291262,15.681682735681534
0.67,0.6796116504854369,14.666961818933487
0.6,0.6,14.804142206907272
0.56,0.576923076923077,17.3009352684021
0.58,0.5625000000000001,16.17926362156868
0.72,0.7142857142857142,16.644539713859558
0.55,0.5454545454545455,17.071127474308014
0.76,0.7735849056603773,12.599326342344284
0.64,0.64,16.287046551704407
0.63,0.6542056074766356,15.852993935346603
0.74,0.7291666666666667,14.16909635066986
0.49,0.48484848484848486,16.943250000476837
0.76,0.7391304347826089,14.83284205198288
0.66,0.6666666666666666,13.28276190161705
0.6,0.607843137254902,14.052502423524857
0.53,0.5688073394495413,16.810639142990112
0.52,0.5471698113207547,17.276311337947845
0.52,0.5384615384615384,17.20057111978531
0.57,0.5825242718446602,16.66513180732727
0.58,0.5434782608695652,17.08846938610077
0.65,0.6601941747572816,15.233681559562683
0.6,0.6,16.490707874298096
0.53,0.5346534653465347,17.119705855846405
0.69,0.7047619047619048,16.091207653284073
0.58,0.5714285714285714,15.530220717191696
0.63,0.6105263157894737,16.133238077163696
0.51,0.5333333333333333,17.15628296136856
0.5,0.5535714285714285,17.278360664844513
0.49,0.5048543689320388,17.22852450609207
0.69,0.6990291262135921,15.705903232097626
0.65,0.6788990825688074,15.92813366651535
0.58,0.631578947368421,17.2918319106102
0.49,0.5321100917431192,17.050268411636353
0.62,0.62,16.629328072071075
0.74,0.74,12.103983223438263
0.56,0.5319148936170213,17.33041536808014
0.63,0.6185567010309279,17.223478376865387
0.68,0.7037037037037037,14.862693697214127
0.63,0.5747126436781609,16.467564702033997
0.58,0.58,14.917614579200745
0.57,0.5904761904761904,16.56468379497528
0.75,0.7311827956989247,13.965359330177307
0.58,0.58,16.9733784198761
0.73,0.7428571428571428,14.513959527015686
0.52,0.52,17.29204797744751
0.52,0.5555555555555556,17.282594978809357
0.64,0.6666666666666666,15.147484868764877
0.44,0.4509803921568628,16.88082081079483
0.6,0.6363636363636365,15.406909942626953
0.62,0.6607142857142857,17.328542590141296
0.64,0.64,15.962942332029343
0.55,0.5454545454545455,17.224312365055084
0.53,0.5252525252525252,16.874866545200348
0.61,0.6060606060606062,16.022310316562653
0.62,0.712121212121212,17.33564978837967
0.48,0.48,17.13127911090851
0.54,0.5892857142857142,17.10060852766037
0.62,0.6122448979591836,16.765768885612488
0.51,0.5585585585585586,16.187029719352722
0.68,0.6923076923076923,12.852509379386902
0.64,0.6000000000000001,15.951036036014557
0.48,0.48,17.200502038002014
0.59,0.5684210526315789,15.98191449046135
0.5,0.4897959183673469,17.154401004314423
0.58,0.58,17.05500465631485
0.59,0.5494505494505494,16.88074564933777
0.54,0.5306122448979592,17.31987500190735
0.49,0.5233644859813084,17.320485949516296
0.52,0.5102040816326531,17.09937936067581
0.5,0.46808510638297873,17.297612369060516
0.51,0.5148514851485149,16.612897515296936
0.59,0.616822429906542,16.66863763332367
0.62,0.62,16.837395071983337
0.58,0.5625000000000001,16.55881941318512
0.68,0.68,14.975310415029526
0.51,0.5811965811965812,17.326392829418182
0.71,0.7070707070707072,15.479311436414719
0.55,0.5714285714285713,17.312528789043427
0.58,0.5714285714285714,17.30543291568756
0.68,0.6981132075471698,15.31304258108139
0.63,0.6605504587155964,14.437431037425995
0.64,0.64,16.896168172359467
0.57,0.5825242718446602,17.266818046569824
0.56,0.5416666666666667,16.72591984272003
0.61,0.6548672566371682,17.110297739505768
0.56,0.5686274509803922,17.300905466079712
0.54,0.54,17.15162628889084
0.5,0.5192307692307693,17.25210064649582
0.56,0.5925925925925927,16.464303731918335
0.72,0.7307692307692308,13.18204602599144
0.41,0.44859813084112143,17.282693922519684
0.54,0.5306122448979592,17.22239226102829
0.55,0.5631067961165048,17.265960454940796
0.49,0.495049504950495,17.110128104686737
0.64,0.6666666666666666,14.330070465803146
0.62,0.6122448979591836,13.382539957761765
0.62,0.6274509803921569,16.291115283966064
0.67,0.6526315789473685,16.221097230911255
0.54,0.5576923076923077,17.11184126138687
0.61,0.6138613861386139,16.466641306877136
0.53,0.584070796460177,17.329635620117188
0.51,0.5333333333333333,17.273327827453613
0.49,0.5565217391304347,17.320733189582825
0.69,0.7102803738317756,14.41287910938263
0.59,0.577319587628866,17.11876666545868
0.65,0.6464646464646464,16.13964605331421
0.6,0.6,17.324168920516968
0.56,0.5510204081632654,17.076520323753357
0.58,0.5714285714285714,17.2574582695961
0.75,0.761904761904762,13.156032472848892
0.52,0.5471698113207547,15.89819911122322
0.66,0.66,15.479437857866287
0.44,0.47169811320754723,17.109812319278717
0.55,0.536082474226804,17.216582655906677
0.6,0.6226415094339622,16.57414811849594
0.66,0.6666666666666666,14.894625544548035
0.58,0.5625000000000001,16.907490134239197
0.57,0.5904761904761904,17.02273941040039
0.58,0.625,17.044816315174103
0.63,0.5934065934065934,16.48899644613266
0.59,0.577319587628866,17.20638543367386
0.63,0.6605504587155964,16.85056447982788
0.8,0.7916666666666667,14.026699125766754
0.58,0.5882352941176471,16.257505536079407
0.47,0.4752475247524752,17.300694167613983
0.62,0.6346153846153846,14.850753903388977
0.58,0.6111111111111112,16.57353240251541
0.69,0.693069306930693,15.42049515247345
0.6,0.6226415094339622,17.300882279872894
0.67,0.6857142857142857,16.14406168460846
0.45,0.46601941747572817,17.140641570091248
0.67,0.6796116504854369,15.122119903564453
0.55,0.608695652173913,17.301669120788574
0.68,0.6923076923076923,13.03432548046112
0.7,0.6938775510204083,16.872681438922882
0.43,0.47706422018348627,17.29280650615692
0.58,0.5714285714285714,17.26475614309311
0.53,0.5688073394495413,16.151562869548798
0.56,0.5416666666666667,16.8804834485054
0.56,0.6071428571428571,16.79239147901535
0.59,0.577319587628866,17.152724146842957
0.61,0.5979381443298969,15.73473984003067
0.64,0.6000000000000001,17.222571849822998
0.51,0.5504587155963302,16.924404084682465
0.61,0.5894736842105264,16.157642424106598
0.51,0.5050505050505051,17.3259117603302
0.52,0.4666666666666666,17.057749152183533
0.71,0.6947368421052631,13.769338697195053
0.68,0.6862745098039216,13.855736196041107
0.62,0.6481481481481481,16.312590658664703
0.48,0.49019607843137253,17.066615760326385
0.5,0.5098039215686274,17.237437784671783
0.7,0.6808510638297872,16.259041905403137
0.65,0.6666666666666666,15.438773304224014
0.63,0.6262626262626263,16.0813689827919
0.5,0.5,17.200711846351624
0.7,0.7272727272727272,16.517809092998505
0.53,0.505263157894737,16.27485704421997
0.57,0.5168539325842696,17.039400458335876
0.55,0.5794392523364487,17.294596672058105
0.53,0.5607476635514018,17.327631175518036
0.58,0.6037735849056605,16.805017590522766
0.56,0.5849056603773586,17.189827620983124
0.52,0.4666666666666666,17.279828310012817
0.61,0.5806451612903226,17.26474368572235
0.61,0.6060606060606062,16.57148903608322
0.69,0.7155963302752293,17.293765425682068
0.54,0.574074074074074,17.220038056373596
0.64,0.6326530612244898,15.332274198532104
0.59,0.6019417475728155,14.568389892578125
0.66,0.6530612244897959,16.88743031024933
0.74,0.74,14.751731276512146
0.5,0.537037037037037,17.2845356464386
0.64,0.64,16.873309433460236
0.52,0.6756756756756758,17.328951060771942
0.67,0.6206896551724138,13.770144283771515
0.62,0.6122448979591836,17.262044847011566
0.66,0.6792452830188679,16.277118980884552
0.6,0.607843137254902,17.32941597700119
0.63,0.6262626262626263,15.291195303201675
0.56,0.5849056603773586,16.14244908094406
0.58,0.5714285714285714,16.951048493385315
0.51,0.6711409395973155,17.330327451229095
0.71,0.6947368421052631,14.67905569076538
0.46,0.5263157894736842,17.30446469783783
0.52,0.5384615384615384,17.302228569984436
0.67,0.6796116504854369,15.387940436601639
0.5,0.6666666666666666,17.329478204250336
0.53,0.5346534653465347,17.29983615875244
0.51,0.5148514851485149,17.104129672050476
0.53,0.5436893203883495,17.118117809295654
0.64,0.64,15.105621814727783
0.65,0.6391752577319586,16.90989661216736
0.58,0.58,16.40153068304062
0.63,0.6336633663366336,17.15115648508072
0.54,0.48888888888888893,17.11914187669754
0.58,0.7,17.32831609249115
0.48,0.43478260869565216,17.15298718214035
0.54,0.54,17.2073757648468
0.54,0.5576923076923077,16.594084203243256
0.59,0.7007299270072993,17.331847190856934
0.82,0.8235294117647058,10.359536945819855
0.62,0.5957446808510639,15.274354457855225
0.54,0.6714285714285715,17.329945504665375
0.54,0.5576923076923077,17.170670092105865
0.59,0.6434782608695652,17.327423989772797
0.64,0.6000000000000001,17.248820781707764
0.5,0.5,16.73631852865219
0.8,0.803921568627451,12.904109746217728
0.49,0.4742268041237113,16.882652580738068
0.62,0.6122448979591836,15.491373121738434
0.76,0.7391304347826089,13.347524523735046
0.51,0.5739130434782608,17.318344712257385
