subslice,acc_top,acc_complement,f1_top,f1_complement,loss_top,loss_complement
1,0.9,0.975,0.9,0.9743589743589743,5.152043998241425,0.0034801103465724736
2,0.975,0.975,0.9743589743589743,0.9743589743589743,3.697782814502716,0.003943283241824247
3,0.975,0.975,0.9743589743589743,0.9743589743589743,3.5888201892375946,0.0038576017395826057
4,1.0,0.975,1.0,0.9743589743589743,2.8412695229053497,0.0037145672977203503
5,1.0,0.975,1.0,0.9743589743589743,2.6322895139455795,0.004220531875034794
6,1.0,0.975,1.0,0.9743589743589743,2.132460355758667,0.0045563925232272595
7,1.0,0.975,1.0,0.9743589743589743,1.895006537437439,0.003969239522120915
8,1.0,0.975,1.0,0.9743589743589743,1.6999276727437973,0.0034287293237866834
9,1.0,0.975,1.0,0.9743589743589743,1.7114486694335938,0.003899441653629765
10,0.975,0.975,0.975609756097561,0.9743589743589743,1.6587066501379013,0.0033358264481648803
