index,pro,non,diff,acc,f1,loss
714,0.15355,-0.106675,0.260225,0.85,0.8421052631578948,5.369952172040939
29,-0.38915,0.059250000000000004,0.4484,0.875,0.8717948717948718,4.24956713616848
405,0.12991250000000001,-0.3048625,0.434775,0.875,0.8717948717948718,3.603194147348404
733,0.00033749999999999335,-0.37144999999999995,0.37178749999999994,0.875,0.8648648648648648,5.268574357032776
143,0.7862,0.09166250000000001,0.6945375,0.9,0.8947368421052632,3.4822075366973877
149,0.3351625,-0.030287500000000002,0.36545,0.9,0.9090909090909091,4.856842398643494
445,-0.1530625,-0.68325,0.5301875,0.9,0.888888888888889,4.378991574048996
266,-0.06315,0.198175,0.261325,0.9,0.9047619047619048,5.83466961979866
545,-0.12817499999999998,-0.4185875000000001,0.29041250000000013,0.95,0.9500000000000001,5.796539336442947
607,-0.17961249999999998,0.28984999999999994,0.4694624999999999,0.975,0.9743589743589743,3.6483412981033325
