index,pro,non,diff,acc,f1,loss
464,-0.142575,0.45882500000000004,0.6014,0.8,0.7777777777777777,4.192752629518509
381,-0.8064500000000001,-0.9799500000000002,0.1735000000000001,0.8,0.8181818181818182,6.258840918540955
273,0.6895874999999999,0.25226249999999995,0.43732499999999996,0.825,0.8292682926829269,5.281205624341965
400,-0.1361,0.21077500000000002,0.34687500000000004,0.825,0.8205128205128205,4.8660372495651245
393,0.10285000000000002,-0.4464874999999999,0.5493374999999999,0.825,0.8,4.345217287540436
645,0.23646250000000002,-0.2624375,0.4989,0.825,0.8205128205128205,4.485382616519928
204,0.21018750000000003,-0.3077375,0.517925,0.85,0.8571428571428572,4.230541348457336
257,-0.2582625,0.0187875,0.27705,0.85,0.85,5.566212087869644
562,0.4660375,-0.1169,0.5829375,0.875,0.8648648648648648,3.8574422895908356
86,-0.002712500000000001,-0.36968750000000006,0.36697500000000005,0.9,0.9,5.196727156639099
