accuracy,f1,loss
0.675,0.6666666666666667,6.463820934295654
0.675,0.6666666666666667,6.796404242515564
0.7,0.7,6.4168203473091125
0.6,0.6,5.770208090543747
0.675,0.6829268292682926,6.209632575511932
0.5,0.5,6.6931517124176025
0.625,0.5714285714285715,6.70559287071228
0.775,0.7804878048780488,5.468898236751556
0.425,0.46511627906976744,6.923337757587433
0.55,0.5,6.528869271278381
0.675,0.7111111111111111,6.479690790176392
0.55,0.5,6.920963644981384
0.5,0.4444444444444445,6.914407432079315
0.65,0.7083333333333333,6.952574074268341
0.475,0.5333333333333332,6.730952441692352
0.725,0.7441860465116279,5.865590870380402
0.45,0.38888888888888884,6.843164265155792
0.65,0.65,6.930971264839172
0.65,0.65,5.926200032234192
0.575,0.5853658536585366,6.9399062395095825
0.775,0.7906976744186046,6.288848340511322
0.675,0.6486486486486486,6.9276052713394165
0.575,0.7017543859649124,6.932560443878174
0.8,0.8181818181818182,5.922544002532959
0.65,0.65,6.4536842703819275
0.625,0.6666666666666665,6.875250577926636
0.65,0.6818181818181818,5.56844088435173
0.575,0.5641025641025641,6.848589777946472
0.625,0.5714285714285715,6.580837547779083
0.875,0.8717948717948718,4.24956713616848
0.65,0.6111111111111112,6.107914686203003
0.8,0.8095238095238095,5.759537160396576
0.575,0.5853658536585366,5.398474097251892
0.4,0.47826086956521735,6.919016480445862
0.525,0.4242424242424242,6.129606187343597
0.725,0.717948717948718,6.8866071701049805
0.6,0.6521739130434783,5.410251677036285
0.525,0.5777777777777778,6.931177139282227
0.65,0.631578947368421,6.6225796937942505
0.4,0.4285714285714286,6.919291436672211
0.65,0.6666666666666666,5.065621048212051
0.65,0.6818181818181818,6.830923080444336
0.675,0.6829268292682926,6.122400104999542
0.45,0.4210526315789474,6.89893901348114
0.725,0.7317073170731706,6.402122676372528
0.775,0.7804878048780488,5.145237386226654
0.525,0.6779661016949152,6.931412637233734
0.575,0.5853658536585366,6.491083979606628
0.725,0.7555555555555556,6.330866456031799
0.525,0.5581395348837209,6.923584520816803
0.55,0.5263157894736842,6.505183458328247
0.7,0.7,5.395177453756332
0.7,0.7142857142857143,5.547800660133362
0.75,0.75,5.3728457391262054
0.475,0.5333333333333332,6.827372193336487
0.625,0.6511627906976744,6.917866349220276
0.45,0.38888888888888884,6.70155394077301
0.475,0.3636363636363637,6.750954329967499
0.575,0.5641025641025641,5.830786496400833
0.575,0.5853658536585366,6.9208837151527405
0.575,0.5142857142857143,6.37865224480629
0.775,0.7804878048780488,6.238668501377106
0.725,0.7555555555555556,6.661247968673706
0.55,0.5714285714285713,6.37939840555191
0.625,0.6341463414634146,5.8701159954071045
0.675,0.6666666666666667,6.062105089426041
0.475,0.5333333333333332,6.926730036735535
0.75,0.7368421052631577,5.455004721879959
0.75,0.7368421052631577,6.077917158603668
0.45,0.3125,6.857429563999176
0.475,0.5116279069767442,6.863828599452972
0.525,0.4571428571428572,6.669193208217621
0.55,0.5263157894736842,6.667765259742737
0.625,0.5945945945945946,6.927843451499939
0.675,0.6486486486486486,6.066180169582367
0.55,0.5714285714285713,6.92007052898407
0.55,0.55,6.653024613857269
0.725,0.7027027027027027,5.53795325756073
0.675,0.6666666666666667,6.606356918811798
0.575,0.5142857142857143,6.8056440353393555
0.8,0.8095238095238095,5.7671579122543335
0.65,0.6956521739130435,5.967888653278351
0.675,0.6486486486486486,5.106871694326401
0.6,0.6521739130434783,6.958546876907349
0.65,0.6666666666666666,6.415066123008728
0.675,0.6666666666666667,6.5155885219573975
0.6,0.6666666666666666,6.7884756326675415
0.775,0.7906976744186046,6.188185304403305
0.625,0.6153846153846154,6.639613091945648
0.675,0.6285714285714286,6.369575560092926
0.675,0.7346938775510204,6.929211497306824
0.55,0.5,6.652528166770935
0.675,0.6666666666666667,6.681157171726227
0.8,0.8000000000000002,6.147331267595291
0.45,0.3125,6.863180756568909
0.475,0.4878048780487805,6.715303719043732
0.675,0.7111111111111111,5.730663508176804
0.775,0.7999999999999999,6.020081549882889
0.575,0.5641025641025641,5.560410708189011
0.525,0.5957446808510639,6.929093062877655
0.625,0.6341463414634146,6.830744028091431
0.425,0.46511627906976744,6.890099287033081
0.625,0.6153846153846154,6.701729238033295
0.575,0.5853658536585366,6.915978014469147
0.675,0.7346938775510204,5.553589642047882
0.525,0.5581395348837209,6.932820737361908
0.525,0.5365853658536585,6.785265624523163
0.7,0.7272727272727272,6.375591576099396
0.525,0.5365853658536585,6.930569350719452
0.6,0.5555555555555556,6.845189273357391
0.65,0.7083333333333333,6.795344293117523
0.7,0.7,6.930755436420441
0.75,0.7368421052631577,6.025509834289551
0.65,0.6666666666666666,6.138838529586792
0.775,0.7906976744186046,3.426618844270706
0.6,0.5555555555555556,6.720448434352875
0.525,0.5365853658536585,6.811830699443817
0.525,0.5128205128205129,6.864970028400421
0.625,0.6666666666666665,6.502153277397156
0.6,0.6190476190476191,5.871834844350815
0.55,0.5714285714285713,5.691466391086578
0.55,0.55,6.802097380161285
0.5,0.4736842105263158,6.855640351772308
0.625,0.6938775510204082,6.9661745429039
0.75,0.7826086956521738,6.087637305259705
