subslice,acc_top,acc_complement,f1_top,f1_complement,loss_top,loss_complement
50,1.0,1.0,1.0,1.0,0.11077207303605974,0.0037825384351890534
100,1.0,1.0,1.0,1.0,0.04086269100662321,0.004517121124081314
150,0.975,1.0,0.9743589743589743,1.0,0.017517682106699795,0.00574933085590601
200,0.975,1.0,0.9743589743589743,1.0,0.01545265840832144,0.007122389099095017
250,1.0,1.0,1.0,1.0,0.010315684485249221,0.009330986125860363
300,1.0,0.975,1.0,0.975609756097561,0.007669599144719541,0.015177522669546306
350,0.975,0.925,0.9743589743589743,0.9268292682926829,0.005532714552828111,0.019547250121831894
400,0.975,0.925,0.9743589743589743,0.9302325581395349,0.005544473227928393,0.030333844828419387
450,1.0,0.875,1.0,0.8837209302325583,0.005695308747817762,0.04320128750987351
500,1.0,0.85,1.0,0.8571428571428572,0.004464342957362533,0.06919480348005891
