subslice,acc_top,acc_complement,f1_top,f1_complement,loss_top,loss_complement
40,1.0,1.0,1.0,1.0,0.14740697480738163,0.0032375945011153817
80,1.0,1.0,1.0,1.0,0.04951860709115863,0.0045856898941565305
120,0.975,1.0,0.9743589743589743,1.0,0.02829791622934863,0.005599729687673971
160,0.975,1.0,0.9743589743589743,1.0,0.018538899312261492,0.0057840587687678635
200,0.975,1.0,0.9743589743589743,1.0,0.013153914653230458,0.007185759022831917
240,1.0,1.0,1.0,1.0,0.010844155011000112,0.008819165435852483
280,1.0,1.0,1.0,1.0,0.010352758748922497,0.013284582644701004
320,1.0,0.975,1.0,0.975609756097561,0.007846256979973987,0.01549987867474556
360,1.0,0.95,1.0,0.9523809523809523,0.005514845426660031,0.02097292908001691
400,1.0,0.925,1.0,0.9302325581395349,0.006130079418653622,0.030111407162621617
