index,pro,non,diff,acc,f1,loss
549,0.46366250000000003,0.043,0.42066250000000005,0.875,0.8837209302325583,4.559557855129242
40,-0.0001500000000000022,-0.3670625,0.36691250000000003,0.875,0.8717948717948718,5.5612355172634125
26,0.16124999999999998,-0.2024375,0.36368749999999994,0.875,0.8780487804878048,4.329418659210205
277,-0.3331375,0.1159125,0.44904999999999995,0.9,0.9047619047619048,4.2418074905872345
242,0.48161250000000005,0.008425000000000002,0.47318750000000004,0.9,0.9,5.118844151496887
77,0.30084999999999995,0.061912499999999995,0.23893749999999997,0.9,0.9,5.750705122947693
239,0.055825,-0.3753125,0.4311375,0.9,0.9,3.933371275663376
692,0.0996875,-0.2934,0.3930875,0.9,0.9,4.67670550942421
245,-0.25587499999999996,-0.009362500000000004,0.24651249999999997,0.925,0.9230769230769231,5.366236299276352
92,-0.2184625,0.14376250000000002,0.362225,0.925,0.9230769230769231,4.752787262201309
