subslice,acc_top,acc_complement,f1_top,f1_complement,loss_top,loss_complement
30,0.975,1.0,0.9743589743589743,1.0,0.2161047337576747,0.0033954287791857496
60,0.975,1.0,0.9743589743589743,1.0,0.09393397916574031,0.004198491973511409
90,1.0,1.0,1.0,1.0,0.04233266040682793,0.004426518717082217
120,0.975,1.0,0.9743589743589743,1.0,0.030265900073572993,0.004915125231491402
150,0.975,1.0,0.9743589743589743,1.0,0.021736326802056283,0.005784314475022256
180,0.975,1.0,0.9743589743589743,1.0,0.015478481829632074,0.007186483882833272
210,0.975,1.0,0.9743589743589743,1.0,0.012582620023749769,0.008379361213883385
240,1.0,1.0,1.0,1.0,0.011000190352206118,0.010031276877271011
270,1.0,1.0,1.0,1.0,0.008924698893679306,0.011943269171752036
300,1.0,0.975,1.0,0.975609756097561,0.008764729922404513,0.013582330488134176
